country,transactions,share,share_cum
FR,32548.631,0.20192664986036885,0.20192664986036885
DE,30509.051,0.1892734124163052,0.39120006227667403
ES,17399.807,0.10794569933607945,0.4991457616127535
PL,16090.905,0.09982547468345009,0.5989712362962035
IT,14783.474,0.09171437588628126,0.6906856121824848
BE,6759.569,0.04193531588686491,0.7326209280693498
LU,5669.075,0.035170060533641814,0.7677909886029916
IE,4697.514,0.029142647034592045,0.7969336356375836
CZ,4663.285,0.028930295636523395,0.825863931274107
LT,4248.864,0.02635929213834911,0.852223223412456
PT,4048.411,0.025115712869394284,0.8773389362818503
FI,3722.799,0.02309566660955821,0.9004346028914085
AT,3345.474,0.020754800932025915,0.9211894038234344
RO,3220.25,0.01997793069124329,0.9411673345146777
HU,2600.737,0.016134568288844655,0.9573019028035223
SK,1678.09,0.010410609646353063,0.9677125124498754
HR,1245.421,0.007726398391248788,0.9754389108411242
BG,1126.833,0.006990696863475119,0.9824296077045993
LV,875.989,0.005434499659433745,0.9878641073640331
EE,766.641,0.004756121656102926,0.992620229020136
SI,641.025,0.003976819508222725,0.9965970485283587
CY,313.218,0.001943155809409158,0.9985402043377679
MT,235.305,0.0014597956622321255,1.0
